,0
10,ballantine date wed 21 aug 2002 09 51 31 0400 cv ed unseen sequence change installed one real issue use unseen window rather exmh icon new code seem able many unseen main window open really necessary hmmm stole code unseenwin never tested since use functionality consider list thing check chris chris garrigues vircio 716 congress suite 200 austin tx 78701 1 512 374 0500 world war iii wrong doer evil doer
11,trying research via sa mirror search engine canned script exists giving client access user prefs option via web based cgi interface numerous isps provide feature client far find nothing configuration us amavis postfix clamav virus filtering procmail spamassassin spam filtering would prefer write script appreciate suggestion email sponsored osdn tired old cell phone get new free spamassassin talk mailing list spamassassin talk
12,hello seen discussed article approach thank hell rule trying accomplish something thomas alva edison email sponsored osdn tired old cell phone get new free spamassassin devel mailing list spamassassin devel
13,date wed 21 aug 2002 10 40 39 0500 chris garrigues message id background color window background color ftoc like vary particularly ftoc background constant message unseen sequence different background others ftoc fine sequence window needed unseen already different foreground problem need different background well play bit making vertical instead horizontal see turn sequence defined sequence defined app default color exmh exmh default color thinking dynamically generate highlighting sequence got figured yet case highlighting concerned method get message sequence come first display secondary consideration suggestion unknown sequence highlight message sequence defined highlighting defined includes defined treated specially get highlighted way maybe something boring dark brown text colour almost indistinguishable normal black chance making current message little brighter background see reason experiment let know work done first significant change came changing relief raised sunken know look better anyway even cur unseen still bit similar ended using sequence cur background palegoldenrod relief sunken borderwidth 2 unnecessary brace colour using space name palegoldenrod translates eee8aa probably safer generic use kre exmh worker mailing list exmh worker
14,know make bay area eff benifit party ast dna lounge san francisco tonight wil weaton wesley crussher star trek tng fight barney dinasour come anything email sponsored osdn tired old cell phone get new free spamassassin devel mailing list spamassassin devel
15,yes great mind think alike even withput eval rule would useful would allow u respond quickly spammer trick theo van dinter wrote thu aug 22 2002 07 27 52am 0700 marc perkel wrote anyone though idea live update rule release idea user run cron job week get new default rule set would allow u react faster suggested month ago remember detail came except would useful non eval rule since require code change email sponsored osdn tired old cell phone get new free spamassassin devel mailing list spamassassin devel
16,mon aug 19 2002 03 08 16pm 0100 john looney mentioned likely get boot like cobalt actually passing root dev hda5 kernel dev md0 solve reason booting box root dev hda5 dev md0 dev md0 booting would barf find init turn populating md0 tar seems issue crosslinked file instance trying make hard link hda failing friend present spotted error queried noticed hard linked file exist new rootfs duplicated filesystems dump instead tar worked fine able tell lilo use root dev md0 everything worked woohoo kate irish linux user group ilug un subscription information list maintainer listmaster
17,chris garrigues date wed 21 aug 2002 10 40 39 0500 chris garrigues date wed 21 aug 2002 10 17 45 0500 ouch get right robert elz date wed 21 aug 2002 19 30 01 0700 chance lengthen instead like exmh stuff nice column fit display better use detache folder list one column main exmh window take full screen top bottom le half width etc thought first order approximation would add using pack side top instead pack side left however since different width would look funny done pretty think work going leave cosmetic issue others update documentation add file leaving 2 1 2 week vacation week last new functionality going add also pretty much everything want use probably pretty much done work bug fix documentation vacation hopefully nothing afterwards chris chris garrigues vircio 716 congress suite 200 austin tx 78701 1 512 374 0500 world war iii wrong doer evil doer
18,spamassassin hurting democracy owen internet level political playing field mike mccurry larry purpuro many month people across country experience one great recurring feature american democracy shopping mall factory floor church social even front stoop approached individual want represent u public office chance high know personally walk u offer handshake flier ask vote technology affecting every area communication begun affect way political candidate communicate voter year gop gubernatorial primary california secretary state bill jones faced better funded candidate acquired e mail address million potential california voter sent unsolicited e mail asking support day might chosen traditional expensive method contacting voter direct mail radio spot tv ad spent 2 cent per message instead 35 cent per message direct mail another medium jones chosen direct mail radio tv communication would equally unsolicited defined e mail world voter would opted receive campaign information jones channel response jones e mail effort however swift intense lambasted anti spam advocate medium coverage almost entirely negative fair jones tactic could refined used le perfect list standard practice paid disclaimer message detractor however attacked tactical miscue e mail sent unsolicited fact jones online campaign may visible asset era cynicism toward money politics money typically spent unsolicited communication medium jones tried level playing field one like commercial spam irrelevant untargeted highly intrusive even offensive sophisticated society time differentiate commercial spam different unsolicited e mail sent political candidate voter debate particularly relevant light legislation congress would constitute first federal law directly address spam believe e mail intrusive direct mail telemarketing tv advertising come politician seeking reach voter simple link good e mail campaign allows recipient opt future mailing direct mail take least phone call stamp taken list viewer must repeatedly endure tv ad candidate lack large campaign war chest use internet provide constituent information better prepare perform civic duty casting educated vote 60 percent potential voter country possessing e mail account make sense political candidate use medium candidate might avoid tactical problem encountered jones campaign use technology available today better ensure quality e mail list target content specific recipient group broader point remains political candidate sends voter e mail recipient choose delete message without opening unsubscribe list read even reply engage sender choice belong voter anti spam advocate whose effort better focused commercial e mail political candidate free communicate voter best let voter decide information mike mccurry former press secretary president clinton ceo advocacy management communication software company larry purpuro former republican national committee deputy chief staff founder president political e marketing firm written los angeles time
19,hi apology possible silly question think eircom adsl service nat ed implication would voip know difficulty voip connecting client connected nat ed network internet wild machine static real ip help pointer would helpful cheer rgrds bernard bernard tyers national centre sensor research p 353 1 700 5273 e w l n117 iiu mailing list iiu
20,forteana wrote robert moaby 33 sent death threat staff also jailed hoarding indecent picture child home computer hmm trust government secret police could look another way bit circumstantial evidence apparently mt lister approached via email little research dejanews google group showed number message clearly hoping contact girl appearing similar group tried google group search robert moaby came top list note marie mt stand mark thomas slightly slimmer uk version michael moore mailing list named rob yahoo group sponsor 4 dvd free p join unsubscribe group send email forteana unsubscribe use yahoo group subject
21,nutshell solaris sun flavour unix original message kiall mac innes mailto kiall sent 22 august 2002 17 23 ilug subject ilug sun solaris someone explain type operating system solaris ive never seen used dont know wheather get server sun dell would prefer linux based server sun seems one im sure solaris distro linux completely different operating system someone explain kiall mac innes irish linux user group ilug un subscription information list maintainer listmaster irish linux user group ilug un subscription information list maintainer listmaster
22,apols posted rob yahoo group sponsor 4 dvd free p join unsubscribe group send email forteana unsubscribe use yahoo group subject
23,someone explain type operating system solaris ive never seen used dont know wheather get server sun dell would prefer linux based server sun seems one im sure solaris distro linux completely different operating system someone explain kiall mac innes irish linux user group ilug un subscription information list maintainer listmaster
24,apols posted anyone beaker timc meep yahoo group sponsor 4 dvd free p join unsubscribe group send email forteana unsubscribe use yahoo group subject
25,thu aug 22 2002 05 13 01pm 0100 fergal moran mentioned nutshell solaris sun flavour unix though sure nice person would like bit detail solaris quite different linux though day make solaris act lot like linux extra cd gnu tool sun ship solaris based sysv unix family quite similar unixen like hpux sco sun hardware general reliable lot expensive one main bonus get buying sun getting hardware software one company support contract fix fob software problem talk software vendor etc set linux likely support world different hardware option run linux sparc though company like redhat maintain sparc port anymore also buy machine linux oriented company like dnuk machine designed run linux version linux extra machine get machine cheaper company like dell likely work time john irish linux user group ilug un subscription information list maintainer listmaster
26,john looney wrote thu aug 22 2002 05 13 01pm 0100 fergal moran mentioned nutshell solaris sun flavour unix though sure nice person would like bit detail solaris quite different linux though day make solaris act lot like linux extra cd gnu tool sun ship solaris based sysv unix family quite similar unixen like hpux sco sun hardware general reliable lot expensive one main bonus get buying sun getting hardware software one company support contract fix fob software problem talk software vendor etc set linux likely support world different hardware option run linux sparc though company like redhat maintain sparc port anymore also buy machine linux oriented company like dnuk machine designed run linux version linux extra machine get machine cheaper company like dell likely work time say dell cheaper dnuk get bit complicated though p draig irish linux user group ilug un subscription information list maintainer listmaster
27,cv ed nowadays catch unseen extremely slow large 100 msg unseen sequence anybody else problem take blame reason suspect needlessly reading file multiple time sequence need make code much smarter handling file first fish fry rather large patch way panic cleaning thing getting optimized okay fix checked afraid help still seems slower 1 month ago maybe slightly faster yeasterday still seeing unseen countdown log 18 51 25 writing home ander mail list l k sequence 18 51 25 list l k 57 msg unseen 18 51 25 list l k 56 msg unseen 18 51 25 list l k 55 msg unseen 18 51 26 list l k 54 msg unseen 18 51 26 list l k 53 msg unseen 18 51 26 list l k 52 msg unseen 18 51 26 list l k 51 msg unseen 18 51 26 list l k 50 msg unseen 18 51 26 list l k 49 msg unseen 18 51 26 list l k 48 msg unseen 18 51 26 list l k 47 msg unseen 18 51 26 list l k 46 msg unseen 18 51 26 list l k 45 msg unseen 18 51 27 list l k 44 msg unseen 18 51 27 list l k 43 msg unseen 18 51 27 list l k 42 msg unseen 18 51 27 list l k 41 msg unseen 18 51 27 list l k 40 msg unseen 18 51 27 list l k 39 msg unseen 18 51 27 list l k 38 msg unseen 18 51 27 list l k 37 msg unseen 18 51 27 list l k 36 msg unseen 18 51 28 list l k 35 msg unseen 18 51 28 list l k 34 msg unseen 18 51 28 list l k 33 msg unseen 18 51 28 list l k 32 msg unseen 18 51 28 list l k 31 msg unseen 18 51 28 list l k 30 msg unseen 18 51 28 list l k 29 msg unseen 18 51 28 list l k 28 msg unseen 18 51 28 list l k 27 msg unseen 18 51 28 list l k 26 msg unseen 18 51 29 list l k 25 msg unseen 18 51 29 list l k 24 msg unseen 18 51 29 list l k 23 msg unseen 18 51 29 list l k 22 msg unseen 18 51 29 list l k 21 msg unseen 18 51 29 list l k 20 msg unseen 18 51 29 list l k 19 msg unseen 18 51 29 list l k 18 msg unseen 18 51 29 list l k 17 msg unseen 18 51 29 list l k 16 msg unseen 18 51 30 list l k 15 msg unseen 18 51 30 list l k 14 msg unseen 18 51 30 list l k 13 msg unseen 18 51 30 list l k 12 msg unseen 18 51 30 list l k 11 msg unseen 18 51 30 list l k 10 msg unseen 18 51 30 list l k 9 msg unseen 18 51 30 digit changed 18 51 30 list l k 8 msg unseen 18 51 30 list l k 7 msg unseen 18 51 31 list l k 6 msg unseen 18 51 31 list l k 5 msg unseen 18 51 31 list l k 4 msg unseen 18 51 31 list l k 3 msg unseen 18 51 31 list l k 2 msg unseen 18 51 31 list l k 1 msg unseen 18 51 31 list l k 0 msg unseen 18 51 31 flistunseenfolder list l k 18 51 31 ok 18 51 47 folder change list exmh msg show cur exmh worker mailing list exmh worker
28,hey easy green leslie leslie ellen jones jack trade doctor folklore lejones truth odd number flann brien original message dino zzzzteana sent thursday august 22 2002 10 13 subject zzzzteana muppet damn kermit boring wan na rizzo coolest dino yahoo group sponsor advertisement unsubscribe group send email forteana unsubscribe use yahoo group subject yahoo term service non text portion message removed yahoo group sponsor 4 dvd free p join unsubscribe group send email forteana unsubscribe use yahoo group subject
29,anders eriksson date thu 22 aug 2002 18 55 03 0200 cv ed nowadays catch unseen extremely slow n large 100 msg unseen sequence anybody else proble take blame reason suspect needlessly reading file multiple time sequence need make code uch smarter handling file first fish fry rather large patch way panic cleaning thing getting optimized okay fix checked afraid help still seems slower 1 month ago maybe slightly faster yeasterday still seeing unseen countdown log okay catchup unseen something use often certainly reproduce dig probably simple chris chris garrigues vircio 716 congress suite 200 austin tx 78701 1 512 374 0500 world war iii wrong doer evil doer
30,thu 22 aug 2002 john looney wrote sun hardware general reliable rofl experience well least cap lock key work peter said another problem dell branded keyboard hit cap lock twice whole machine crash linux window even switch inactive leaving reach power cable instead p bauwolf said wanted solaris 9 x86 waiting bit erm run solaris x86 standard cheer al expressed posting opinion way related opinion held employer sun microsystems statement sun product included gospel may fiction rather truth irish linux user group ilug un subscription information list maintainer listmaster
31,multiple generation peasant squatter cultivate live land almost human part property package read getting legal title take 20 year believe 1 year ought sufficient helped cairo reference assumed talking urban poor see people living mansion even suburban subdivision assume much trouble title see people living shanty haphazard alleyway tend assume parcel exactly recorded government map paid bank loan especially nearby vacant lot shotgun wielding men presumably intent keeping development free may manhattanites view america say outside metro manila davao maybe another city two cebu everything else literally boondocks going broad assumption guess describing flip side roger experience paisanos leave behind remain patron rural land move manila second assumption squat shantytown least line middle class job going two large assumption come scenario title would take 20 year shantytown arises somewhere midst section whatever spanish used divvy land take decade arguing put together package somehow compensate owner record lot inhabitant transferring title existing lot party money ought problem obvious solution least u barking farting chihuahua fork introduce market mechanism left exercise come one work many agent perceived negligible npv dave land reform meant agricultural producer plant crop time profitable happened highly capitalized land putting tree instead crop sound like might sidestep long think particularly enjoy de soto work find list chance explanation bell jar meantime
32,hi everybody writing web application java tomcat jsp servlets database access postgresql released gpl eventually useful framework web application application main focus e commerce limited would like use form cryptography protect data database problem figuring right approach store password key shared web server problem unable solve store key encryption decryption api using jca method saving generated key keystores fails always serialize object store database secure approach key needed decrypt data database database accessible web application assuming find good secure place store database password use different database different user argh complex really solve problem found good documentation topic another approach would share list something thought bit interest probabily wrong insecure real beginner secure programming learn method technics first need secure way keep database password secure keep separate main server right approach could using small java bean application run normal user tomcat shared web service worst nobody user shell login default home directory place hold password key web application could open ssl connection could done init method server startup get database password small bean could check via code signature rmi whatever else source right one handle database connection give db connection password main web application way solve problem keeping key password shared directory also attacker get root bean user account read data perfect work provider give opportunity configure separated java application mean really another server running background suggestion thank mario torre please avoid sending word powerpoint attachment see
33,oooops work got startup attempt change folder fail anders read flist seqcount list exmh unseen element array reading value variable increment invoked within incr flist seqcount folder seq delta procedure seq del line 16 invoked within seq del exmh folder mhprofile unseen sequence msgid procedure msgseen line 7 invoked within msgseen msgid procedure msgshow line 12 invoked within msgshow msgid procedure msgchange line 17 invoked within msgchange 73 show invoked within time list msgchange msgid show procedure msg change line 3 invoked within msg change msg id show procedure msg show line 7 invoked within msg show cur eval body line 1 invoked within eval msgshowproc procedure folderchange line 55 invoked within folderchange list exmh msg show cur invoked within time list folderchange folder msgshowproc procedure folder change line 3 invoked within folder change exmh folder procedure exmh line 101 invoked within exmh script exmh worker mailing list exmh worker
34,thursday august 22 2002 10 24 justin mason wrote plan figure freqs tonight suggest test drop wait comment drop test nobody care tomorrow sed dropped test mass check log step unneccesary unless changed script much test log rule file ignored think seem changed log c script removed bit could specify immutable test top took brief glance code fully make changed think want able specify immutable test score though somewhere handled tflags stuff last couple release test occurred infrequently thumb wind subjective criterion set immutable score well handful rule kick ga btw away weekend linuxbierwanderung craig might run problem assuming get darned thing compile c
35,message dated thu 22 aug 2002 13 03 57 cdt ulises ponce said thanks tony think using component file get default many diferent signature want insert one signature using keyboard command message insert signature another message insert different signature possible using sedit message ahm object using mouse thing exmh ability insert different sigs demand create bunch different sig file beginning start exmh load sedit window see sign menu item allow select listed file e mail actually use several like though remember preference option allows however signature get added send inserted directly existing sedit window prior composition currently 6 different sig file choose additionally file execute bit turned exmh attempt execute file use stdout script signature hope help seeya paul may look like sitting nothing really actively waiting problem go away fun right exmh user mailing list exmh user
36,thanks paul way right would like use mouse thing clue saludos ulises speaking word wisdom message dated thu 22 aug 2002 13 03 57 cdt ulises ponce said thanks tony think using component file get default many diferent signature want insert one signature using keyboard command message insert signature another message insert different signature possible using sedit message ahm object using mouse thing exmh ability insert different sigs demand create bunch different sig file beginning start exmh load sedit window see sign menu item allow select listed file e mail actually use several like though remember preference option allows however signature get added send inserted directly existing sedit window prior composition currently 6 different sig file choose additionally file execute bit turned exmh attempt execute file use stdout script signature hope help seeya paul may look like sitting nothing really actively waiting problem go away fun right exmh user mailing list exmh user exmh user mailing list exmh user
37,folk first time posting bit unix experience new linux got new pc home dell box window xp added second hard disk linux partitioned disk installed suse cd went fine except pick monitor dell branded e151fpp 15 lcd flat panel monitor nvidia geforce4 ti4200 video card probably new feature suse default set downloaded driver nvidia website installed using rpm ran sax2 recommended posting found net still feature video card available list next another problem dell branded keyboard hit cap lock twice whole machine crash linux window even switch inactive leaving reach power cable instead anyone help way probs really grateful searched net run idea going different version linux redhat opinion welcome thanks lot peter irish linux user group ilug un subscription information list maintainer listmaster
38,got reading mail dark room keyboard illuminated mostly light laptop screen think put finger wrong key mostly use keyboard exclusively running exmh today cv fix problem mentioned yesterday included eventually managed contact cv server expected integer got executing incr procedure mhseqexpand line 12 invoked within mhseqexpand folder msgids procedure mhseq line 2 invoked within mhseq folder seq oldmsgids msgids procedure mh sequenceupdate line 54 invoked within mh sequenceupdate folder replace seq msgids procedure seq set line 4 invoked within seq set folder cur msgid procedure mh setcur line 7 invoked within mh setcur exmh folder msgid procedure msgchange line 5 invoked within msgchange noshow invoked within time list msgchange msgid show procedure msg change line 3 invoked within msg change select sel noshow procedure selecttypein line 14 invoked within selecttypein command bound event kre p sequence window vertical instead horizontal colour ftoc stuff deleted looking good old unseen window used look still work make little nicer listboxes seem strange habit need make optional parameterized minute embedding stuff code much quicker prototyping done send patch someone look exmh worker mailing list exmh worker
39,message dated thu 22 aug 2002 13 53 55 cdt ulises ponce said thanks paul way right would like use mouse thing clue best think figure command issued exmh selects insert sig bind key sequence difficult matter figuring tcl something perl based brain excited seeya paul may look like sitting nothing really actively waiting problem go away fun right exmh user mailing list exmh user
40,chris haun wrote lifegem certified high quality diamond created carbon loved one memorial unique wonderful life wait dead sure enough carbon fat typical liposuction job make decent diamond joe
41,thu 22 aug 2002 joseph barrera iii wrote wait dead sure enough carbon fat typical liposuction job make decent diamond thats keep seeing debeers agent hovering around tom diamond fold flesh wsmf
42,joseph barrera iii wrote chris haun wrote lifegem certified high quality diamond created carbon loved one memorial unique wonderful life wait dead sure enough carbon fat typical liposuction job make decent diamond joe oh hell excrement love able say sun shine as occasional diamond owen
43,update anyone interested like closed thread nothing worse infinite loop ended formatting floppy flatmate un networked p100 running fat16 win95 mcopied content bootdisk across fat16 win98 install running alongside slackware play metal gear solid mood take ciaran wednesday 21 august 2002 16 21 ciaran johnston wrote dublin said copy file disk c partition mark active work yeah figured seem well case give another go tonight maybe come back error message clarify understand initially floppy drive installed physically work nowhere handy pick one fancy waiting day one arrive peat thanks answer ciaran especially need cd driver read file hint boot floppy p wed 2002 08 21 14 07 ciaran johnston wrote hi folk situation home pc 2 10gig hdds working floppy drive running linux solely last year recently got urge among thing play windoze game normally install window partition using boot floppy conveniently zipped way writing reading floppy go formatting c drive system file normally would use format c floppy installing cdrom driver bootdisk wrote many year ago normally booting partition wiped linux partition first drive created partition window hda1 slackware redhat used cfdisk made first drive hda bootable installed window partition lilo reran lilo installed mbr copied content new window partition tried boot get garbled line squiggle anyone idea think anywhere athlone get new floppy drive evening thanks ciaran irish linux user group ilug un subscription information list maintainer listmaster irish linux user group ilug un subscription information list maintainer listmaster
44,fork admin mailto fork admin behalf dave long sent thursday august 22 2002 11 12 fork subject curse india socialism read getting legal title take 20 year believe 1 year ought sufficient helped cairo reference assumed talking urban poor see people living mansion even suburban subdivision assume much trouble title pg 177 another country local newspaper intrigued evidence extralegal real estate holding checked see head state official residence recorded title pg 92 value land formal sector lima average u 50 per square meter whereas area gamarra great deal peru informal manufacturing sector resides value per square meter go high u 3 made assumption de soto say correct find mansion title lot fact used collateral loan otherwise participate capital extra legal status long think particularly enjoy de soto work find list chance explanation bell jar meantime french historian fernand braudel braudel bell jar de soto key problem find sector society past would hesitate call capitalist lived bell jar cut rest able expand conquer whole society significant rate capital formation possible certain sector whole market economy time would perhaps teasingly paradoxial say whatever short supply money certainly age poor land bought magnificent country resident built resolve contradiction depressed economic climate splendor florence lorenzo magnificent de soto theory bell jar formed segregate practical access legal property right poor 1 property lot lot property access system turn property capital allow start growing property exchanged small section people know personally 1 actual poor people poor american living standard envy world
45,anyone seen heard used package would let random person go webpage create mailing list administer list also course let ppl sign list manage subscription similar old like running server someone el chris
46,anders eriksson date thu 22 aug 2002 20 23 17 0200 oooops work got startup attempt change folde r fail sigh already found checked apparently checked sent mail hoped fast enough see try chris chris garrigues vircio 716 congress suite 200 austin tx 78701 1 512 374 0500 world war iii wrong doer evil doer
47,apparent quote dubya time sent dad tony blair special relationship george bush considerable strain two disagree yassir arafat tenure leader palestinian authority blair started telling disparaging anecdote president baroness williams crosby recalled story told good friend tony blair recently brighton blair bush jacques chirac discussing economics particular decline french economy problem french bush confided blair word entrepreneur r
48,automated response message sent hauns froehlingsdorf office monday august 26 reply email return hauns hauns froehlingsdorf network system manager infinetivity 952
49,thu 22 aug 2002 chris chris garrigues wrote chris exmh 267413022p content type text plain chris charset u ascii anders eriksson date thu 22 aug 2002 20 23 17 0200 oooops work got startup attempt change folde r fail chris sigh already found checked apparently chris checked sent chris mail hoped fast enough see chris try work like charm like box drug something however testing selected favourite folder l k marked 400 message unread took forever long catch unseen suggestion exmh worker mailing list exmh worker
50,al white wrote erm run solaris x86 standard run solaris 8 x86 standard joking al irish linux user group ilug un subscription information list maintainer listmaster
51,hi thank useful reply found interesting tutorial ibm developer connection registration needed post message web application security list suggested someone thing use md5 password checking use approach described secure programmin fo linux unix separate authentication module change implementation anytime thank mario torre please avoid sending word powerpoint attachment see
52,anders eriksson date thu 22 aug 2002 23 14 20 0200 thu 22 aug 2002 chris chris garrigues wrote chris exmh 267413022p content type text plain chris charset u ascii anders eriksson date thu 22 aug 2002 20 23 17 0200 oooops work got startup attempt change folde r fail chris sigh already found checked apparently chris checked sent chris mail hoped fast enough see chris try work like charm like box drug something however testing selected favourite folder l k marked 400 message unread took forever long catch unseen suggestion fixed thought caught occurrence particular coding stupidity chris chris garrigues vircio 716 congress suite 200 austin tx 78701 1 512 374 0500 world war iii wrong doer evil doer
53,mark twomey joked erm run solaris x86 standard run solaris 8 x86 standard joking al run solaris 9 sun catch x86 driver kernel although hold breath free dvd never come spot person applied free solaris 9 dvd told three month later longer available fwiw solaris linux seem getting closer time longer see specific reason one better expect red hat solaris 11 time matthew yahoo everything ever need one web page news sport email music chart irish linux user group ilug un subscription information list maintainer listmaster
